latitud,longitud,rad_2019,rad_2023,delta_historico,cagr_pct,tendencia,zona_expansion,rad_2026,delta_vs_2023_2026,rad_2027,delta_vs_2023_2027,rad_2028,delta_vs_2023_2028,rad_2029,delta_vs_2023_2029,rad_2030,delta_vs_2023_2030,nivel_urbano
-11.85,-77.2,0.57,1.62,1.05,29.634,crecimiento_alto,0,0.0,-1.62,0.0,-1.62,0.0,-1.62,0.0,-1.62,0.0,-1.62,rural
-11.85,-77.19158,3.47,2.39,-1.08,-8.92,decrecimiento,0,0.0,-2.39,0.0,-2.39,0.0,-2.39,0.0,-2.39,0.0,-2.39,rural
-11.85,-77.18316,3.5,3.28,-0.22,-1.627,decrecimiento,0,2.1,-1.18,2.05,-1.23,1.99,-1.29,1.94,-1.34,1.88,-1.4,rural
-11.85,-77.17474,4.04,6.46,2.41,12.426,crecimiento_alto,0,10.5,4.04,11.1,4.65,11.71,5.25,12.31,5.86,12.91,6.46,rural
-11.85,-77.16632,10.84,13.7,2.86,6.019,crecimiento_alto,0,15.41,1.71,16.12,2.42,16.83,3.14,17.55,3.85,18.26,4.56,peri-urbano
-11.85,-77.15789,28.07,34.34,6.27,5.171,crecimiento_alto,0,36.65,2.31,38.22,3.88,39.78,5.45,41.35,7.02,42.92,8.58,urbano
-11.85,-77.14947,50.96,60.8,9.84,4.513,crecimiento_moderado,0,58.3,-2.5,60.76,-0.04,63.22,2.42,65.68,4.88,68.14,7.34,urbano_denso
-11.85,-77.14105,48.06,56.49,8.44,4.128,crecimiento_moderado,0,55.59,-0.91,57.7,1.2,59.81,3.31,61.92,5.42,64.03,7.53,urbano
-11.85,-77.13263,72.31,91.14,18.84,5.959,crecimiento_alto,0,96.95,5.8,101.66,10.51,106.37,15.22,111.08,19.93,115.79,24.64,urbano_denso
-11.85,-77.12421,63.91,66.05,2.14,0.826,estable,0,59.1,-6.95,59.63,-6.41,60.17,-5.88,60.7,-5.35,61.24,-4.81,urbano_denso
-11.85,-77.11579,18.88,27.74,8.85,10.089,crecimiento_alto,0,32.17,4.44,34.39,6.65,36.6,8.86,38.81,11.08,41.03,13.29,peri-urbano
-11.85,-77.10737,21.12,27.38,6.26,6.707,crecimiento_alto,0,30.97,3.59,32.54,5.16,34.1,6.72,35.67,8.29,37.23,9.85,peri-urbano
-11.85,-77.09895,48.63,47.9,-0.73,-0.377,estable,0,42.02,-5.88,41.83,-6.06,41.65,-6.24,41.47,-6.43,41.29,-6.61,urbano
-11.85,-77.09053,56.9,60.15,3.25,1.399,crecimiento_moderado,0,56.61,-3.55,57.42,-2.73,58.23,-1.92,59.05,-1.11,59.86,-0.29,urbano_denso
-11.85,-77.08211,55.04,62.44,7.4,3.202,crecimiento_moderado,0,60.34,-2.1,62.19,-0.25,64.03,1.6,65.88,3.45,67.73,5.3,urbano_denso
-11.85,-77.07368,49.97,64.34,14.37,6.525,crecimiento_alto,0,68.42,4.08,72.01,7.67,75.61,11.26,79.2,14.86,82.79,18.45,urbano_denso
-11.85,-77.06526,36.1,46.6,10.5,6.588,crecimiento_alto,0,52.02,5.42,54.64,8.05,57.27,10.67,59.89,13.29,62.51,15.92,urbano
-11.85,-77.05684,46.82,66.05,19.23,8.982,crecimiento_alto,0,75.75,9.7,80.56,14.51,85.37,19.32,90.17,24.12,94.98,28.93,urbano_denso
-11.85,-77.04842,48.53,64.86,16.34,7.525,crecimiento_alto,0,72.42,7.56,76.51,11.64,80.59,15.73,84.68,19.81,88.76,23.9,urbano_denso
